법정동코드,법정동명
27110143,대구광역시 중구 포정동
27110144,대구광역시 중구 서문로1가
27110145,대구광역시 중구 서내동
27110146,대구광역시 중구 북성로2가
27110147,대구광역시 중구 대안동
27110148,대구광역시 중구 동성로1가
27110149,대구광역시 중구 태평로2가
27110150,대구광역시 중구 북성로1가
27110151,대구광역시 중구 화전동
27110152,대구광역시 중구 향촌동
27110153,대구광역시 중구 북내동
27110154,대구광역시 중구 대신동
27110155,대구광역시 중구 달성동
27110156,대구광역시 중구 남산동
27110157,대구광역시 중구 대봉동
27140101,대구광역시 동구 신암동
27140102,대구광역시 동구 신천동
27140103,대구광역시 동구 효목동
27140104,대구광역시 동구 평광동
27140105,대구광역시 동구 봉무동
27140106,대구광역시 동구 불로동
27140107,대구광역시 동구 도동
27140108,대구광역시 동구 지저동
27140109,대구광역시 동구 입석동
27140110,대구광역시 동구 검사동
27140111,대구광역시 동구 방촌동
27140112,대구광역시 동구 둔산동
27140113,대구광역시 동구 부동
27140114,대구광역시 동구 신평동
27140115,대구광역시 동구 서호동
27140116,대구광역시 동구 동호동
27140117,대구광역시 동구 신기동
27140118,대구광역시 동구 율하동
27140119,대구광역시 동구 용계동
27140120,대구광역시 동구 율암동
27140121,대구광역시 동구 상매동
27140122,대구광역시 동구 매여동
27140123,대구광역시 동구 각산동
27140124,대구광역시 동구 신서동
27140125,대구광역시 동구 동내동
27140126,대구광역시 동구 괴전동
27140127,대구광역시 동구 금강동
27140128,대구광역시 동구 대림동
27140129,대구광역시 동구 사복동
27140130,대구광역시 동구 숙천동
